epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.184,0.91596,0.42636,0.99637,0.75435,0.74332,0.76205,0.5408,1.06528,0.58095,1.04838,0.0002,0.0002,0.0002
2,950.992,0.91513,0.42457,0.99704,0.7549,0.74156,0.7582,0.53655,1.06816,0.58224,1.0499,0.000191,0.000191,0.000191
3,1416.87,0.91127,0.42265,0.99519,0.76504,0.73897,0.76118,0.53947,1.06972,0.58605,1.05125,0.000182,0.000182,0.000182
4,1883.43,0.91049,0.42135,0.99447,0.75316,0.74492,0.75696,0.53706,1.06592,0.58434,1.0497,0.000173,0.000173,0.000173
5,2349.34,0.90776,0.42002,0.99423,0.76765,0.73178,0.75962,0.53822,1.06754,0.58416,1.04989,0.000164,0.000164,0.000164
6,2815.57,0.90529,0.41915,0.99125,0.76293,0.7331,0.76246,0.5409,1.06718,0.58132,1.04964,0.000155,0.000155,0.000155
7,3281.17,0.90513,0.4184,0.99146,0.75481,0.73894,0.75772,0.53727,1.07034,0.58451,1.05157,0.000146,0.000146,0.000146
8,3747.47,0.90277,0.41635,0.99097,0.75065,0.7412,0.75254,0.53305,1.07029,0.58754,1.05098,0.000137,0.000137,0.000137
9,4213.62,0.91137,0.42084,0.99687,0.76871,0.72824,0.758,0.5374,1.07008,0.58459,1.0506,0.000128,0.000128,0.000128
10,4680.09,0.91,0.42034,0.99453,0.76885,0.72335,0.75933,0.53749,1.0698,0.58384,1.0509,0.000119,0.000119,0.000119
11,5146.09,0.90985,0.42,0.99485,0.75651,0.73417,0.76183,0.54071,1.06941,0.58317,1.05048,0.00011,0.00011,0.00011
12,5611.32,0.9067,0.41854,0.99448,0.77103,0.72216,0.75462,0.53528,1.06737,0.58598,1.04963,0.000101,0.000101,0.000101
13,6077.64,0.90574,0.41788,0.993,0.75517,0.7356,0.75609,0.53644,1.06993,0.58693,1.05089,9.2e-05,9.2e-05,9.2e-05
14,6543.12,0.9042,0.41687,0.99454,0.76432,0.73218,0.75698,0.53754,1.06934,0.58591,1.05088,8.3e-05,8.3e-05,8.3e-05
